simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
53,Ricker,b_for,-0.08,Ricker,-0.09,-0.15,-0.03,1,12.499999999999995,1.89,0.2,-0.08
53,Ricker,sigma,0.2,Ricker,0.18,0.15,0.23,1,-10.000000000000009,1.89,0.2,-0.08
53,Ricker,alpha,1.89,Beverton-Holt,5.04,2.48,9.62,1.003,166.6666666666667,1.89,0.2,-0.08
53,Ricker,b_for,-0.08,Beverton-Holt,-0,-0.13,0.12,1.001,-100,1.89,0.2,-0.08
53,Ricker,sigma,0.2,Beverton-Holt,0.39,0.31,0.48,1.003,95,1.89,0.2,-0.08
55,Beverton-Holt,alpha,2.52,Ricker,0.23,0.02,0.54,1.001,-90.87301587301587,2.52,0.7,-1.91
55,Beverton-Holt,b_for,-1.91,Ricker,-0.72,-1.09,-0.34,1,-62.30366492146597,2.52,0.7,-1.91
55,Beverton-Holt,sigma,0.7,Ricker,1.23,0.99,1.54,1.002,75.71428571428572,2.52,0.7,-1.91
55,Beverton-Holt,alpha,2.52,Beverton-Holt,2.12,1.33,3.38,1.003,-15.87301587301587,2.52,0.7,-1.91
55,Beverton-Holt,b_for,-1.91,Beverton-Holt,-1.84,-2.08,-1.59,1.001,-3.664921465968578,2.52,0.7,-1.91
55,Beverton-Holt,sigma,0.7,Beverton-Holt,0.68,0.55,0.86,1.001,-2.857142857142844,2.52,0.7,-1.91
58,Beverton-Holt,alpha,2.49,Ricker,0.24,0.01,0.61,1.001,-90.36144578313252,2.49,0.8,-2.25
58,Beverton-Holt,b_for,-2.25,Ricker,-0.68,-1.12,-0.25,1,-69.77777777777777,2.49,0.8,-2.25
58,Beverton-Holt,sigma,0.8,Ricker,1.43,1.15,1.8,1.002,78.74999999999997,2.49,0.8,-2.25
58,Beverton-Holt,alpha,2.49,Beverton-Holt,2.34,1.35,4.44,1.013,-6.024096385542182,2.49,0.8,-2.25
58,Beverton-Holt,b_for,-2.25,Beverton-Holt,-1.96,-2.27,-1.63,1.005,-12.888888888888891,2.49,0.8,-2.25
58,Beverton-Holt,sigma,0.8,Beverton-Holt,0.83,0.66,1.04,1.002,3.7499999999999893,2.49,0.8,-2.25
59,Beverton-Holt,alpha,0.52,Ricker,0.22,0.09,0.35,1.002,-57.6923076923077,0.52,0.2,-0.86
59,Beverton-Holt,b_for,-0.86,Ricker,-0.67,-0.82,-0.52,1.001,-22.093023255813947,0.52,0.2,-0.86
59,Beverton-Holt,sigma,0.2,Ricker,0.38,0.31,0.48,1.002,90,0.52,0.2,-0.86
59,Beverton-Holt,alpha,0.52,Beverton-Holt,0.68,0.55,0.82,1.001,30.769230769230774,0.52,0.2,-0.86
59,Beverton-Holt,b_for,-0.86,Beverton-Holt,-0.93,-1.02,-0.84,1.001,8.139534883720938,0.52,0.2,-0.86
59,Beverton-Holt,sigma,0.2,Beverton-Holt,0.21,0.17,0.26,1.001,4.99999999999999,0.52,0.2,-0.86
60,Beverton-Holt,alpha,1.31,Ricker,0.54,0.12,0.98,1,-58.77862595419847,1.31,1.6,-0.44
60,Beverton-Holt,b_for,-0.44,Ricker,-0.1,-0.47,0.25,1,-77.27272727272727,1.31,1.6,-0.44
60,Beverton-Holt,sigma,1.6,Ricker,1.25,1.02,1.56,1,-21.875000000000004,1.31,1.6,-0.44
60,Beverton-Holt,alpha,1.31,Beverton-Holt,1.56,0.34,6.89,1.028,19.083969465648853,1.31,1.6,-0.44
60,Beverton-Holt,b_for,-0.44,Beverton-Holt,-0.15,-0.51,0.21,1,-65.90909090909092,1.31,1.6,-0.44
60,Beverton-Holt,sigma,1.6,Beverton-Holt,1.22,0.98,1.51,1.002,-23.750000000000007,1.31,1.6,-0.44
61,Beverton-Holt,alpha,1.94,Ricker,0.64,0.15,1.17,1.001,-67.0103092783505,1.94,1.2,0.14
61,Beverton-Holt,b_for,0.14,Ricker,0.04,-0.42,0.49,1,-71.42857142857142,1.94,1.2,0.14
61,Beverton-Holt,sigma,1.2,Ricker,1.57,1.26,1.97,1.001,30.833333333333346,1.94,1.2,0.14
61,Beverton-Holt,alpha,1.94,Beverton-Holt,2.46,0.54,9.27,1.004,26.804123711340207,1.94,1.2,0.14
61,Beverton-Holt,b_for,0.14,Beverton-Holt,0.01,-0.45,0.45,1,-92.85714285714285,1.94,1.2,0.14
61,Beverton-Holt,sigma,1.2,Beverton-Holt,1.52,1.21,1.91,1.002,26.666666666666675,1.94,1.2,0.14
62,Ricker,alpha,0.9,Ricker,0.84,0.59,1.1,1.002,-6.666666666666672,0.9,0.6,0.54
62,Ricker,b_for,0.54,Ricker,0.55,0.35,0.76,1.001,1.8518518518518534,0.9,0.6,0.54
62,Ricker,sigma,0.6,Ricker,0.61,0.49,0.77,1,1.6666666666666683,0.9,0.6,0.54
62,Ricker,alpha,0.9,Beverton-Holt,1.29,0.7,2.01,1.001,43.333333333333336,0.9,0.6,0.54
62,Ricker,b_for,0.54,Beverton-Holt,0.68,0.36,1,1.001,25.925925925925927,0.9,0.6,0.54
62,Ricker,sigma,0.6,Beverton-Holt,0.74,0.6,0.91,1,23.333333333333336,0.9,0.6,0.54
66,Beverton-Holt,alpha,0.14,Ricker,0.4,0.12,0.69,1.001,185.7142857142857,0.14,0.9,-0.5
66,Beverton-Holt,b_for,-0.5,Ricker,-0.47,-0.77,-0.18,1.002,-6.000000000000005,0.14,0.9,-0.5
66,Beverton-Holt,sigma,0.9,Ricker,0.84,0.68,1.06,1.001,-6.666666666666672,0.14,0.9,-0.5
66,Beverton-Holt,alpha,0.14,Beverton-Holt,1,0.31,2.02,1.018,614.2857142857142,0.14,0.9,-0.5
66,Beverton-Holt,b_for,-0.5,Beverton-Holt,-0.54,-0.82,-0.24,1.003,8.000000000000007,0.14,0.9,-0.5
66,Beverton-Holt,sigma,0.9,Beverton-Holt,0.81,0.65,1.02,1.004,-9.999999999999996,0.14,0.9,-0.5
67,Beverton-Holt,alpha,0.96,Ricker,0.4,0.1,0.72,1.001,-58.33333333333333,0.96,0.8,-1.01
67,Beverton-Holt,b_for,-1.01,Ricker,-0.89,-1.23,-0.52,1.003,-11.881188118811881,0.96,0.8,-1.01
67,Beverton-Holt,sigma,0.8,Ricker,0.96,0.77,1.2,1.003,19.99999999999999,0.96,0.8,-1.01
67,Beverton-Holt,alpha,0.96,Beverton-Holt,1.69,0.84,3.25,1.019,76.04166666666667,0.96,0.8,-1.01
67,Beverton-Holt,b_for,-1.01,Beverton-Holt,-1.16,-1.43,-0.88,1.002,14.851485148514843,0.96,0.8,-1.01
67,Beverton-Holt,sigma,0.8,Beverton-Holt,0.77,0.62,0.97,1.003,-3.750000000000003,0.96,0.8,-1.01
68,Beverton-Holt,alpha,1.39,Ricker,0.9,0.64,1.17,1.003,-35.25179856115107,1.39,0.5,-0.4
68,Beverton-Holt,b_for,-0.4,Ricker,-0.52,-0.68,-0.35,1,30,1.39,0.5,-0.4
68,Beverton-Holt,sigma,0.5,Ricker,0.45,0.37,0.57,1,-9.999999999999998,1.39,0.5,-0.4
68,Beverton-Holt,alpha,1.39,Beverton-Holt,3.08,1.27,8.95,1.004,121.58273381294967,1.39,0.5,-0.4
68,Beverton-Holt,b_for,-0.4,Beverton-Holt,-0.39,-0.53,-0.26,1,-2.500000000000002,1.39,0.5,-0.4
68,Beverton-Holt,sigma,0.5,Beverton-Holt,0.44,0.36,0.56,1,-12,1.39,0.5,-0.4
