simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
59,Beverton-Holt,b_for,-0.86,Ricker,-0.89,-1.15,-0.64,1.004,3.488372093023259,4.72,0.2,-0.86
59,Beverton-Holt,sigma,0.2,Ricker,0.6,0.48,0.74,1.001,200,4.72,0.2,-0.86
59,Beverton-Holt,alpha,4.72,Beverton-Holt,7.3,4.15,9.89,1.001,54.66101694915255,4.72,0.2,-0.86
59,Beverton-Holt,b_for,-0.86,Beverton-Holt,-0.84,-0.91,-0.78,1,-2.325581395348839,4.72,0.2,-0.86
59,Beverton-Holt,sigma,0.2,Beverton-Holt,0.22,0.18,0.28,1.002,9.999999999999995,4.72,0.2,-0.86
60,Beverton-Holt,alpha,6.38,Ricker,1.07,0.55,1.62,1.002,-83.22884012539186,6.38,1.6,-0.44
60,Beverton-Holt,b_for,-0.44,Ricker,-0.07,-0.46,0.32,1.002,-84.0909090909091,6.38,1.6,-0.44
60,Beverton-Holt,sigma,1.6,Ricker,1.35,1.09,1.71,1,-15.625,6.38,1.6,-0.44
60,Beverton-Holt,alpha,6.38,Beverton-Holt,6.34,2.51,9.81,1.002,-0.6269592476489034,6.38,1.6,-0.44
60,Beverton-Holt,b_for,-0.44,Beverton-Holt,-0.15,-0.49,0.2,0.999,-65.90909090909092,6.38,1.6,-0.44
60,Beverton-Holt,sigma,1.6,Beverton-Holt,1.2,0.98,1.5,1.002,-25.000000000000007,6.38,1.6,-0.44
61,Beverton-Holt,alpha,4.41,Ricker,0.79,0.2,1.38,1,-82.08616780045351,4.41,1.2,0.14
61,Beverton-Holt,b_for,0.14,Ricker,0.04,-0.44,0.52,1,-71.42857142857142,4.41,1.2,0.14
61,Beverton-Holt,sigma,1.2,Ricker,1.67,1.36,2.08,1,39.16666666666667,4.41,1.2,0.14
61,Beverton-Holt,alpha,4.41,Beverton-Holt,5.02,1.44,9.65,1.001,13.832199546485247,4.41,1.2,0.14
61,Beverton-Holt,b_for,0.14,Beverton-Holt,-0,-0.45,0.45,1.001,-100,4.41,1.2,0.14
61,Beverton-Holt,sigma,1.2,Beverton-Holt,1.49,1.21,1.85,1,24.16666666666667,4.41,1.2,0.14
63,Beverton-Holt,alpha,7.02,Ricker,0.44,0.03,1.06,1.001,-93.73219373219372,7.02,1.1,-2.45
63,Beverton-Holt,b_for,-2.45,Ricker,-1.14,-1.84,-0.42,1.001,-53.46938775510205,7.02,1.1,-2.45
63,Beverton-Holt,sigma,1.1,Ricker,2.3,1.86,2.88,1,109.09090909090905,7.02,1.1,-2.45
63,Beverton-Holt,alpha,7.02,Beverton-Holt,6.68,3.22,9.83,1.002,-4.843304843304842,7.02,1.1,-2.45
63,Beverton-Holt,b_for,-2.45,Beverton-Holt,-2.34,-2.74,-1.92,1.001,-4.48979591836736,7.02,1.1,-2.45
63,Beverton-Holt,sigma,1.1,Beverton-Holt,1.38,1.11,1.73,1.001,25.454545454545432,7.02,1.1,-2.45
66,Beverton-Holt,alpha,4.79,Ricker,1.05,0.65,1.46,1.001,-78.07933194154488,4.79,0.9,-0.5
66,Beverton-Holt,b_for,-0.5,Ricker,-0.67,-1.01,-0.34,1.001,34.00000000000001,4.79,0.9,-0.5
66,Beverton-Holt,sigma,0.9,Ricker,1,0.81,1.26,1.002,11.111111111111109,4.79,0.9,-0.5
66,Beverton-Holt,alpha,4.79,Beverton-Holt,6.57,2.76,9.84,1.001,37.16075156576201,4.79,0.9,-0.5
66,Beverton-Holt,b_for,-0.5,Beverton-Holt,-0.33,-0.58,-0.08,1,-34,4.79,0.9,-0.5
66,Beverton-Holt,sigma,0.9,Beverton-Holt,0.87,0.71,1.09,1.001,-3.333333333333336,4.79,0.9,-0.5
67,Beverton-Holt,alpha,4.36,Ricker,0.45,0.09,0.87,1.001,-89.6788990825688,4.36,0.8,-1.01
67,Beverton-Holt,b_for,-1.01,Ricker,-0.99,-1.48,-0.53,1.001,-1.980198019801982,4.36,0.8,-1.01
67,Beverton-Holt,sigma,0.8,Ricker,1.31,1.06,1.64,1.003,63.75,4.36,0.8,-1.01
67,Beverton-Holt,alpha,4.36,Beverton-Holt,6.68,2.95,9.83,1,53.21100917431191,4.36,0.8,-1.01
67,Beverton-Holt,b_for,-1.01,Beverton-Holt,-1.06,-1.29,-0.82,1.001,4.950495049504955,4.36,0.8,-1.01
67,Beverton-Holt,sigma,0.8,Beverton-Holt,0.79,0.64,0.98,1.001,-1.250000000000001,4.36,0.8,-1.01
68,Beverton-Holt,alpha,6.59,Ricker,1.28,0.95,1.6,1.001,-80.57663125948407,6.59,0.5,-0.4
68,Beverton-Holt,b_for,-0.4,Ricker,-0.68,-0.86,-0.49,1.002,70,6.59,0.5,-0.4
68,Beverton-Holt,sigma,0.5,Ricker,0.51,0.41,0.64,1.002,2.0000000000000018,6.59,0.5,-0.4
68,Beverton-Holt,alpha,6.59,Beverton-Holt,6.61,3.02,9.78,1,0.30349013657056845,6.59,0.5,-0.4
68,Beverton-Holt,b_for,-0.4,Beverton-Holt,-0.38,-0.51,-0.25,1,-5.000000000000004,6.59,0.5,-0.4
68,Beverton-Holt,sigma,0.5,Beverton-Holt,0.45,0.36,0.56,1.001,-9.999999999999998,6.59,0.5,-0.4
69,Beverton-Holt,alpha,5.27,Ricker,0.54,0.04,1.24,1.002,-89.75332068311195,5.27,1.8,-0.14
69,Beverton-Holt,b_for,-0.14,Ricker,-0.29,-0.96,0.39,1,107.14285714285711,5.27,1.8,-0.14
69,Beverton-Holt,sigma,1.8,Ricker,2.5,2.02,3.12,1.001,38.888888888888886,5.27,1.8,-0.14
69,Beverton-Holt,alpha,5.27,Beverton-Holt,6.38,2.43,9.84,1.001,21.062618595825434,5.27,1.8,-0.14
69,Beverton-Holt,b_for,-0.14,Beverton-Holt,-0.61,-1.14,-0.09,1.001,335.71428571428567,5.27,1.8,-0.14
69,Beverton-Holt,sigma,1.8,Beverton-Holt,1.79,1.45,2.24,1.001,-0.555555555555556,5.27,1.8,-0.14
71,Beverton-Holt,alpha,3.57,Ricker,0.46,0.18,0.73,1.002,-87.11484593837535,3.57,0.6,-0.73
71,Beverton-Holt,b_for,-0.73,Ricker,-0.65,-0.92,-0.36,1.002,-10.958904109589037,3.57,0.6,-0.73
71,Beverton-Holt,sigma,0.6,Ricker,0.73,0.59,0.92,1.002,21.666666666666668,3.57,0.6,-0.73
71,Beverton-Holt,alpha,3.57,Beverton-Holt,4.91,1.79,9.63,1.003,37.53501400560225,3.57,0.6,-0.73
71,Beverton-Holt,b_for,-0.73,Beverton-Holt,-0.67,-0.82,-0.52,0.999,-8.219178082191775,3.57,0.6,-0.73
71,Beverton-Holt,sigma,0.6,Beverton-Holt,0.51,0.41,0.63,1.001,-14.999999999999995,3.57,0.6,-0.73
76,Beverton-Holt,alpha,5.07,Ricker,0.96,0.62,1.33,1.001,-81.06508875739645,5.07,0.2,0.9
76,Beverton-Holt,b_for,0.9,Ricker,0.4,0.2,0.6,1.002,-55.55555555555556,5.07,0.2,0.9
76,Beverton-Holt,sigma,0.2,Ricker,0.37,0.3,0.47,1.001,85,5.07,0.2,0.9
76,Beverton-Holt,alpha,5.07,Beverton-Holt,6.08,2.94,9.75,1.017,19.921104536489146,5.07,0.2,0.9
76,Beverton-Holt,b_for,0.9,Beverton-Holt,0.89,0.74,0.99,1.028,-1.111111111111112,5.07,0.2,0.9
76,Beverton-Holt,sigma,0.2,Beverton-Holt,0.26,0.21,0.31,1.008,30,5.07,0.2,0.9
81,Beverton-Holt,alpha,3.94,Ricker,0.56,0.05,1.22,1.001,-85.78680203045685,3.94,1.6,0.58
81,Beverton-Holt,b_for,0.58,Ricker,0.09,-0.56,0.73,1.002,-84.48275862068967,3.94,1.6,0.58
81,Beverton-Holt,sigma,1.6,Ricker,2.28,1.85,2.84,1.001,42.49999999999998,3.94,1.6,0.58
81,Beverton-Holt,alpha,3.94,Beverton-Holt,6.41,2.63,9.82,1.001,62.69035532994925,3.94,1.6,0.58
81,Beverton-Holt,b_for,0.58,Beverton-Holt,0.48,-0.04,1,1.001,-17.241379310344826,3.94,1.6,0.58
81,Beverton-Holt,sigma,1.6,Beverton-Holt,1.71,1.39,2.14,1.001,6.874999999999992,3.94,1.6,0.58
82,Beverton-Holt,alpha,7.47,Ricker,0.93,0.28,1.6,1.001,-87.55020080321286,7.47,1.6,-0.06
82,Beverton-Holt,b_for,-0.06,Ricker,0.01,-0.55,0.56,1,-116.66666666666666,7.47,1.6,-0.06
82,Beverton-Holt,sigma,1.6,Ricker,1.88,1.53,2.34,1.001,17.499999999999986,7.47,1.6,-0.06
82,Beverton-Holt,alpha,7.47,Beverton-Holt,6.18,2.29,9.81,1,-17.269076305220885,7.47,1.6,-0.06
82,Beverton-Holt,b_for,-0.06,Beverton-Holt,0.29,-0.17,0.73,1,-583.3333333333334,7.47,1.6,-0.06
82,Beverton-Holt,sigma,1.6,Beverton-Holt,1.57,1.27,1.95,1,-1.8750000000000016,7.47,1.6,-0.06
83,Beverton-Holt,alpha,6.46,Ricker,1.23,0.92,1.53,1.003,-80.95975232198143,6.46,0.4,-0.29
83,Beverton-Holt,b_for,-0.29,Ricker,-0.47,-0.61,-0.34,1.002,62.06896551724138,6.46,0.4,-0.29
83,Beverton-Holt,sigma,0.4,Ricker,0.39,0.31,0.49,1.002,-2.500000000000002,6.46,0.4,-0.29
83,Beverton-Holt,alpha,6.46,Beverton-Holt,6.58,2.9,9.84,1.002,1.8575851393188871,6.46,0.4,-0.29
83,Beverton-Holt,b_for,-0.29,Beverton-Holt,-0.29,-0.39,-0.2,1.001,-0,6.46,0.4,-0.29
83,Beverton-Holt,sigma,0.4,Beverton-Holt,0.33,0.26,0.41,1,-17.5,6.46,0.4,-0.29
85,Beverton-Holt,alpha,5.09,Ricker,0.59,0.16,1.04,1.001,-88.40864440078586,5.09,0.8,1.1
85,Beverton-Holt,b_for,1.1,Ricker,0.2,-0.21,0.6,1.001,-81.81818181818183,5.09,0.8,1.1
85,Beverton-Holt,sigma,0.8,Ricker,1.26,1.02,1.58,1.001,57.5,5.09,0.8,1.1
85,Beverton-Holt,alpha,5.09,Beverton-Holt,6.47,2.38,9.8,1.003,27.111984282907663,5.09,0.8,1.1
85,Beverton-Holt,b_for,1.1,Beverton-Holt,1,0.59,1.32,1.001,-9.090909090909099,5.09,0.8,1.1
85,Beverton-Holt,sigma,0.8,Beverton-Holt,1.01,0.82,1.26,1.001,26.249999999999993,5.09,0.8,1.1
87,Beverton-Holt,alpha,4.62,Ricker,0.57,0.06,1.22,1.002,-87.66233766233766,4.62,1.6,-1.85
87,Beverton-Holt,b_for,-1.85,Ricker,-1.16,-1.9,-0.45,1.002,-37.297297297297305,4.62,1.6,-1.85
87,Beverton-Holt,sigma,1.6,Ricker,2.24,1.81,2.79,1,40.00000000000001,4.62,1.6,-1.85
87,Beverton-Holt,alpha,4.62,Beverton-Holt,4.63,1.68,9.54,1.002,0.21645021645021184,4.62,1.6,-1.85
87,Beverton-Holt,b_for,-1.85,Beverton-Holt,-1.5,-1.97,-1.03,1.003,-18.918918918918923,4.62,1.6,-1.85
87,Beverton-Holt,sigma,1.6,Beverton-Holt,1.54,1.24,1.93,1.001,-3.750000000000003,4.62,1.6,-1.85
91,Beverton-Holt,alpha,4.64,Ricker,0.53,0.27,0.81,1.03,-88.57758620689654,4.64,0,0.93
91,Beverton-Holt,b_for,0.93,Ricker,0.21,0.07,0.35,1.029,-77.4193548387097,4.64,0,0.93
91,Beverton-Holt,sigma,0,Ricker,0.23,0.19,0.29,1.007,Inf,4.64,0,0.93
91,Beverton-Holt,alpha,4.64,Beverton-Holt,4.47,4.1,4.92,1.002,-3.6637931034482745,4.64,0,0.93
91,Beverton-Holt,b_for,0.93,Beverton-Holt,0.92,0.91,0.94,1.002,-1.075268817204302,4.64,0,0.93
91,Beverton-Holt,sigma,0,Beverton-Holt,0.03,0.02,0.03,1,Inf,4.64,0,0.93
93,Beverton-Holt,alpha,4.79,Ricker,0.69,0.11,1.33,1.001,-85.59498956158663,4.79,1.3,-0.34
93,Beverton-Holt,b_for,-0.34,Ricker,-0.39,-0.97,0.18,1,14.705882352941172,4.79,1.3,-0.34
93,Beverton-Holt,sigma,1.3,Ricker,2.01,1.62,2.52,1.002,54.61538461538459,4.79,1.3,-0.34
93,Beverton-Holt,alpha,4.79,Beverton-Holt,5.97,1.98,9.77,1.001,24.634655532359076,4.79,1.3,-0.34
93,Beverton-Holt,b_for,-0.34,Beverton-Holt,-0.33,-0.78,0.12,1.001,-2.9411764705882377,4.79,1.3,-0.34
93,Beverton-Holt,sigma,1.3,Beverton-Holt,1.55,1.24,1.96,1.001,19.23076923076923,4.79,1.3,-0.34
96,Beverton-Holt,alpha,3.47,Ricker,0.85,0.5,1.19,1.002,-75.5043227665706,3.47,0.6,-0.46
96,Beverton-Holt,b_for,-0.46,Ricker,-0.74,-1.01,-0.47,1.003,60.86956521739129,3.47,0.6,-0.46
96,Beverton-Holt,sigma,0.6,Ricker,0.69,0.56,0.86,1,14.999999999999995,3.47,0.6,-0.46
96,Beverton-Holt,alpha,3.47,Beverton-Holt,5.97,2.21,9.79,1.003,72.04610951008644,3.47,0.6,-0.46
96,Beverton-Holt,b_for,-0.46,Beverton-Holt,-0.6,-0.78,-0.43,1.001,30.43478260869564,3.47,0.6,-0.46
96,Beverton-Holt,sigma,0.6,Beverton-Holt,0.58,0.47,0.73,1.001,-3.3333333333333366,3.47,0.6,-0.46
97,Beverton-Holt,alpha,7.39,Ricker,0.59,0.17,1.01,1.001,-92.01623815967524,7.39,0.8,-0.24
97,Beverton-Holt,b_for,-0.24,Ricker,-0.32,-0.63,0,1.002,33.33333333333334,7.39,0.8,-0.24
97,Beverton-Holt,sigma,0.8,Ricker,1.04,0.84,1.3,1,30,7.39,0.8,-0.24
97,Beverton-Holt,alpha,7.39,Beverton-Holt,4.53,1.25,9.54,1.002,-38.70094722598105,7.39,0.8,-0.24
97,Beverton-Holt,b_for,-0.24,Beverton-Holt,-0.42,-0.68,-0.15,1.002,75,7.39,0.8,-0.24
97,Beverton-Holt,sigma,0.8,Beverton-Holt,0.91,0.73,1.14,1.001,13.749999999999996,7.39,0.8,-0.24
99,Beverton-Holt,alpha,6.07,Ricker,0.48,0.05,1.02,1.001,-92.09225700164744,6.07,1.7,-0.01
99,Beverton-Holt,b_for,-0.01,Ricker,-0.17,-0.67,0.31,1,1600,6.07,1.7,-0.01
99,Beverton-Holt,sigma,1.7,Ricker,1.73,1.39,2.17,1.002,1.764705882352943,6.07,1.7,-0.01
99,Beverton-Holt,alpha,6.07,Beverton-Holt,4.7,0.83,9.61,1.004,-22.57001647446458,6.07,1.7,-0.01
99,Beverton-Holt,b_for,-0.01,Beverton-Holt,-0.27,-0.71,0.16,1.001,2600,6.07,1.7,-0.01
99,Beverton-Holt,sigma,1.7,Beverton-Holt,1.54,1.24,1.92,1,-9.41176470588235,6.07,1.7,-0.01
100,Beverton-Holt,alpha,3.19,Ricker,0.62,0.13,1.13,1.001,-80.56426332288402,3.19,1.3,0.5
100,Beverton-Holt,b_for,0.5,Ricker,0.1,-0.35,0.54,1,-80,3.19,1.3,0.5
100,Beverton-Holt,sigma,1.3,Ricker,1.52,1.22,1.9,1.001,16.92307692307692,3.19,1.3,0.5
100,Beverton-Holt,alpha,3.19,Beverton-Holt,6.4,2.55,9.86,1,100.62695924764893,3.19,1.3,0.5
100,Beverton-Holt,b_for,0.5,Beverton-Holt,0.43,0.07,0.77,1,-14.000000000000002,3.19,1.3,0.5
100,Beverton-Holt,sigma,1.3,Beverton-Holt,1.18,0.95,1.48,1,-9.230769230769239,3.19,1.3,0.5
103,Beverton-Holt,alpha,5.18,Ricker,0.47,0.06,1,1.001,-90.92664092664093,5.18,1.3,-1.76
103,Beverton-Holt,b_for,-1.76,Ricker,-1.02,-1.66,-0.37,1.006,-42.04545454545455,5.18,1.3,-1.76
103,Beverton-Holt,sigma,1.3,Ricker,1.68,1.36,2.11,1.002,29.23076923076922,5.18,1.3,-1.76
103,Beverton-Holt,alpha,5.18,Beverton-Holt,3.33,1.15,9.13,1.002,-35.71428571428571,5.18,1.3,-1.76
103,Beverton-Holt,b_for,-1.76,Beverton-Holt,-1.79,-2.24,-1.27,1,1.7045454545454561,5.18,1.3,-1.76
103,Beverton-Holt,sigma,1.3,Beverton-Holt,1.26,1.01,1.59,1.001,-3.0769230769230798,5.18,1.3,-1.76
105,Beverton-Holt,alpha,5.83,Ricker,0.75,0.14,1.45,1.002,-87.13550600343054,5.83,1.8,-1.04
105,Beverton-Holt,b_for,-1.04,Ricker,-0.67,-1.31,-0.02,1,-35.57692307692307,5.83,1.8,-1.04
105,Beverton-Holt,sigma,1.8,Ricker,2.25,1.82,2.81,1,24.999999999999996,5.83,1.8,-1.04
105,Beverton-Holt,alpha,5.83,Beverton-Holt,5.07,1.63,9.68,1.001,-13.036020583190389,5.83,1.8,-1.04
105,Beverton-Holt,b_for,-1.04,Beverton-Holt,-0.81,-1.31,-0.26,1,-22.115384615384613,5.83,1.8,-1.04
105,Beverton-Holt,sigma,1.8,Beverton-Holt,1.83,1.48,2.29,1.001,1.666666666666668,5.83,1.8,-1.04
108,Beverton-Holt,alpha,5.23,Ricker,0.74,0.35,1.12,1.001,-85.8508604206501,5.23,0.7,0.92
108,Beverton-Holt,b_for,0.92,Ricker,0.26,-0.05,0.58,1,-71.73913043478261,5.23,0.7,0.92
108,Beverton-Holt,sigma,0.7,Ricker,0.97,0.78,1.22,1.001,38.57142857142858,5.23,0.7,0.92
108,Beverton-Holt,alpha,5.23,Beverton-Holt,6.15,2.48,9.8,1.001,17.590822179732314,5.23,0.7,0.92
108,Beverton-Holt,b_for,0.92,Beverton-Holt,0.71,0.45,0.94,1,-22.826086956521745,5.23,0.7,0.92
108,Beverton-Holt,sigma,0.7,Beverton-Holt,0.77,0.62,0.96,1,10.000000000000009,5.23,0.7,0.92
110,Beverton-Holt,alpha,6.18,Ricker,0.44,0.03,0.99,1.001,-92.88025889967636,6.18,1.3,-1.18
110,Beverton-Holt,b_for,-1.18,Ricker,-0.82,-1.5,-0.15,1.002,-30.508474576271187,6.18,1.3,-1.18
110,Beverton-Holt,sigma,1.3,Ricker,1.99,1.61,2.47,1.001,53.07692307692307,6.18,1.3,-1.18
110,Beverton-Holt,alpha,6.18,Beverton-Holt,6.52,3.04,9.83,1.001,5.501618122977344,6.18,1.3,-1.18
110,Beverton-Holt,b_for,-1.18,Beverton-Holt,-1.29,-1.68,-0.89,1,9.322033898305094,6.18,1.3,-1.18
110,Beverton-Holt,sigma,1.3,Beverton-Holt,1.34,1.09,1.68,1.001,3.0769230769230798,6.18,1.3,-1.18
111,Beverton-Holt,alpha,6.09,Ricker,0.84,0.38,1.33,1.001,-86.20689655172414,6.09,1.2,0.23
111,Beverton-Holt,b_for,0.23,Ricker,-0.06,-0.45,0.32,1.001,-126.08695652173914,6.09,1.2,0.23
111,Beverton-Holt,sigma,1.2,Ricker,1.32,1.07,1.67,1.002,10.000000000000009,6.09,1.2,0.23
111,Beverton-Holt,alpha,6.09,Beverton-Holt,6.33,2.22,9.82,1,3.940886699507393,6.09,1.2,0.23
111,Beverton-Holt,b_for,0.23,Beverton-Holt,0.26,-0.09,0.6,1,13.043478260869565,6.09,1.2,0.23
111,Beverton-Holt,sigma,1.2,Beverton-Holt,1.17,0.95,1.45,1,-2.500000000000002,6.09,1.2,0.23
113,Beverton-Holt,alpha,5.22,Ricker,0.66,0.11,1.27,1.003,-87.35632183908045,5.22,1.3,1.63
113,Beverton-Holt,b_for,1.63,Ricker,0.39,-0.16,0.91,1.001,-76.07361963190183,5.22,1.3,1.63
113,Beverton-Holt,sigma,1.3,Ricker,1.79,1.44,2.24,1.001,37.69230769230769,5.22,1.3,1.63
113,Beverton-Holt,alpha,5.22,Beverton-Holt,5.57,2.28,9.68,1.001,6.704980842911889,5.22,1.3,1.63
113,Beverton-Holt,b_for,1.63,Beverton-Holt,1.34,0.77,1.79,1.002,-17.791411042944777,5.22,1.3,1.63
113,Beverton-Holt,sigma,1.3,Beverton-Holt,1.36,1.1,1.7,1,4.615384615384619,5.22,1.3,1.63
116,Beverton-Holt,alpha,3.71,Ricker,0.46,0.04,0.99,1.003,-87.6010781671159,3.71,1.4,0.02
116,Beverton-Holt,b_for,0.02,Ricker,0.12,-0.42,0.65,1,500,3.71,1.4,0.02
116,Beverton-Holt,sigma,1.4,Ricker,1.81,1.47,2.26,1.001,29.2857142857143,3.71,1.4,0.02
116,Beverton-Holt,alpha,3.71,Beverton-Holt,5.25,1.3,9.78,1.001,41.509433962264154,3.71,1.4,0.02
116,Beverton-Holt,b_for,0.02,Beverton-Holt,0.37,-0.09,0.8,1,1750,3.71,1.4,0.02
116,Beverton-Holt,sigma,1.4,Beverton-Holt,1.51,1.21,1.9,1,7.857142857142866,3.71,1.4,0.02
117,Beverton-Holt,alpha,4.23,Ricker,1.08,0.77,1.4,1.002,-74.46808510638299,4.23,0.6,0.7
117,Beverton-Holt,b_for,0.7,Ricker,0.36,0.17,0.55,1.001,-48.57142857142858,4.23,0.6,0.7
117,Beverton-Holt,sigma,0.6,Ricker,0.54,0.43,0.67,1.001,-9.999999999999991,4.23,0.6,0.7
117,Beverton-Holt,alpha,4.23,Beverton-Holt,4.78,1.36,9.63,1.014,13.002364066193849,4.23,0.6,0.7
117,Beverton-Holt,b_for,0.7,Beverton-Holt,0.66,0.32,0.89,1.029,-5.714285714285704,4.23,0.6,0.7
117,Beverton-Holt,sigma,0.6,Beverton-Holt,0.56,0.45,0.71,1.004,-6.6666666666666545,4.23,0.6,0.7
119,Beverton-Holt,alpha,5.48,Ricker,0.72,0.12,1.4,1,-86.86131386861314,5.48,1.8,-0.38
119,Beverton-Holt,b_for,-0.38,Ricker,-0.25,-0.81,0.33,1,-34.21052631578947,5.48,1.8,-0.38
119,Beverton-Holt,sigma,1.8,Ricker,2.07,1.67,2.6,1.001,14.999999999999988,5.48,1.8,-0.38
119,Beverton-Holt,alpha,5.48,Beverton-Holt,3.23,1.05,9.05,1.003,-41.05839416058395,5.48,1.8,-0.38
119,Beverton-Holt,b_for,-0.38,Beverton-Holt,-0.34,-0.89,0.2,1,-10.52631578947368,5.48,1.8,-0.38
119,Beverton-Holt,sigma,1.8,Beverton-Holt,1.83,1.47,2.29,1.001,1.666666666666668,5.48,1.8,-0.38
120,Beverton-Holt,alpha,5.75,Ricker,0.99,0.58,1.4,1.003,-82.78260869565217,5.75,0.7,-0.33
120,Beverton-Holt,b_for,-0.33,Ricker,-0.46,-0.74,-0.18,1.001,39.39393939393939,5.75,0.7,-0.33
120,Beverton-Holt,sigma,0.7,Ricker,0.91,0.73,1.13,1,30.00000000000001,5.75,0.7,-0.33
120,Beverton-Holt,alpha,5.75,Beverton-Holt,6.36,2.52,9.81,1,10.608695652173918,5.75,0.7,-0.33
120,Beverton-Holt,b_for,-0.33,Beverton-Holt,-0.38,-0.6,-0.16,1,15.151515151515149,5.75,0.7,-0.33
120,Beverton-Holt,sigma,0.7,Beverton-Holt,0.75,0.6,0.93,1.001,7.1428571428571495,5.75,0.7,-0.33
124,Beverton-Holt,alpha,6.39,Ricker,0.73,0.15,1.33,1,-88.57589984350548,6.39,1.2,2.04
124,Beverton-Holt,b_for,2.04,Ricker,0.55,-0.04,1.12,1,-73.0392156862745,6.39,1.2,2.04
124,Beverton-Holt,sigma,1.2,Ricker,1.91,1.54,2.38,1,59.16666666666667,6.39,1.2,2.04
124,Beverton-Holt,alpha,6.39,Beverton-Holt,4.55,1.81,9.38,1.007,-28.794992175273865,6.39,1.2,2.04
124,Beverton-Holt,b_for,2.04,Beverton-Holt,1.52,0.76,2.16,1.003,-25.49019607843137,6.39,1.2,2.04
124,Beverton-Holt,sigma,1.2,Beverton-Holt,1.51,1.21,1.9,1.002,25.83333333333334,6.39,1.2,2.04
125,Beverton-Holt,alpha,5.64,Ricker,0.51,0.06,1.07,1.005,-90.95744680851064,5.64,1.3,-0.28
125,Beverton-Holt,b_for,-0.28,Ricker,-0.21,-0.7,0.27,1.001,-25.00000000000001,5.64,1.3,-0.28
125,Beverton-Holt,sigma,1.3,Ricker,1.69,1.36,2.1,1.002,29.999999999999993,5.64,1.3,-0.28
125,Beverton-Holt,alpha,5.64,Beverton-Holt,6.22,2.21,9.79,1.001,10.283687943262413,5.64,1.3,-0.28
125,Beverton-Holt,b_for,-0.28,Beverton-Holt,-0.14,-0.52,0.24,1.001,-50,5.64,1.3,-0.28
125,Beverton-Holt,sigma,1.3,Beverton-Holt,1.3,1.06,1.64,1,0,5.64,1.3,-0.28
127,Beverton-Holt,alpha,4.13,Ricker,0.7,0.16,1.26,1.001,-83.05084745762711,4.13,1.2,-0.64
127,Beverton-Holt,b_for,-0.64,Ricker,-0.58,-1.05,-0.11,1,-9.375000000000009,4.13,1.2,-0.64
127,Beverton-Holt,sigma,1.2,Ricker,1.54,1.24,1.92,0.999,28.33333333333334,4.13,1.2,-0.64
127,Beverton-Holt,alpha,4.13,Beverton-Holt,6.31,2.45,9.84,1.001,52.78450363196125,4.13,1.2,-0.64
127,Beverton-Holt,b_for,-0.64,Beverton-Holt,-0.65,-1,-0.31,1,1.5625000000000013,4.13,1.2,-0.64
127,Beverton-Holt,sigma,1.2,Beverton-Holt,1.18,0.95,1.48,1,-1.6666666666666683,4.13,1.2,-0.64
130,Beverton-Holt,alpha,7.41,Ricker,0.53,0.03,1.34,1.003,-92.84750337381917,7.41,1.9,0.09
130,Beverton-Holt,b_for,0.09,Ricker,-0.12,-0.93,0.67,1.001,-233.33333333333334,7.41,1.9,0.09
130,Beverton-Holt,sigma,1.9,Ricker,2.97,2.4,3.7,1.001,56.31578947368423,7.41,1.9,0.09
130,Beverton-Holt,alpha,7.41,Beverton-Holt,6.96,3.49,9.84,1,-6.072874493927127,7.41,1.9,0.09
130,Beverton-Holt,b_for,0.09,Beverton-Holt,-0.14,-0.68,0.42,0.999,-255.55555555555557,7.41,1.9,0.09
130,Beverton-Holt,sigma,1.9,Beverton-Holt,1.96,1.58,2.45,1,3.1578947368421084,7.41,1.9,0.09
135,Beverton-Holt,alpha,3.74,Ricker,0.26,0.02,0.59,1.001,-93.048128342246,3.74,0.4,-1.87
135,Beverton-Holt,b_for,-1.87,Ricker,-0.87,-1.3,-0.46,1.004,-53.475935828877,3.74,0.4,-1.87
135,Beverton-Holt,sigma,0.4,Ricker,1.1,0.9,1.37,1,175,3.74,0.4,-1.87
135,Beverton-Holt,alpha,3.74,Beverton-Holt,6.38,3.2,9.82,1.001,70.58823529411762,3.74,0.4,-1.87
135,Beverton-Holt,b_for,-1.87,Beverton-Holt,-1.97,-2.07,-1.88,1.002,5.347593582887693,3.74,0.4,-1.87
135,Beverton-Holt,sigma,0.4,Beverton-Holt,0.31,0.25,0.39,1.005,-22.500000000000004,3.74,0.4,-1.87
138,Beverton-Holt,alpha,5.09,Ricker,0.75,0.24,1.3,1,-85.26522593320236,5.09,1.3,0.91
138,Beverton-Holt,b_for,0.91,Ricker,0.21,-0.26,0.68,1.001,-76.92307692307692,5.09,1.3,0.91
138,Beverton-Holt,sigma,1.3,Ricker,1.48,1.19,1.87,1.002,13.84615384615384,5.09,1.3,0.91
138,Beverton-Holt,alpha,5.09,Beverton-Holt,7.37,3.91,9.88,1,44.79371316306484,5.09,1.3,0.91
138,Beverton-Holt,b_for,0.91,Beverton-Holt,0.75,0.41,1.06,1,-17.582417582417587,5.09,1.3,0.91
138,Beverton-Holt,sigma,1.3,Beverton-Holt,1.09,0.88,1.36,1.002,-16.15384615384615,5.09,1.3,0.91
