simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
59,Beverton-Holt,alpha,0.52,Beverton-Holt,0.68,0.55,0.82,1.001,30.769230769230774,0.52,0.2,-0.86
59,Beverton-Holt,b_for,-0.86,Beverton-Holt,-0.93,-1.02,-0.84,1.001,8.139534883720938,0.52,0.2,-0.86
59,Beverton-Holt,sigma,0.2,Beverton-Holt,0.21,0.17,0.26,1.001,4.99999999999999,0.52,0.2,-0.86
60,Beverton-Holt,alpha,1.31,Ricker,0.54,0.12,0.98,1,-58.77862595419847,1.31,1.6,-0.44
60,Beverton-Holt,b_for,-0.44,Ricker,-0.1,-0.47,0.25,1,-77.27272727272727,1.31,1.6,-0.44
60,Beverton-Holt,sigma,1.6,Ricker,1.25,1.02,1.56,1,-21.875000000000004,1.31,1.6,-0.44
60,Beverton-Holt,alpha,1.31,Beverton-Holt,1.56,0.34,6.89,1.028,19.083969465648853,1.31,1.6,-0.44
60,Beverton-Holt,b_for,-0.44,Beverton-Holt,-0.15,-0.51,0.21,1,-65.90909090909092,1.31,1.6,-0.44
60,Beverton-Holt,sigma,1.6,Beverton-Holt,1.22,0.98,1.51,1.002,-23.750000000000007,1.31,1.6,-0.44
61,Beverton-Holt,alpha,1.94,Ricker,0.64,0.15,1.17,1.001,-67.0103092783505,1.94,1.2,0.14
61,Beverton-Holt,b_for,0.14,Ricker,0.04,-0.42,0.49,1,-71.42857142857142,1.94,1.2,0.14
61,Beverton-Holt,sigma,1.2,Ricker,1.57,1.26,1.97,1.001,30.833333333333346,1.94,1.2,0.14
61,Beverton-Holt,alpha,1.94,Beverton-Holt,2.46,0.54,9.27,1.004,26.804123711340207,1.94,1.2,0.14
61,Beverton-Holt,b_for,0.14,Beverton-Holt,0.01,-0.45,0.45,1,-92.85714285714285,1.94,1.2,0.14
61,Beverton-Holt,sigma,1.2,Beverton-Holt,1.52,1.21,1.91,1.002,26.666666666666675,1.94,1.2,0.14
62,Ricker,alpha,0.9,Ricker,0.84,0.59,1.1,1.002,-6.666666666666672,0.9,0.6,0.54
62,Ricker,b_for,0.54,Ricker,0.55,0.35,0.76,1.001,1.8518518518518534,0.9,0.6,0.54
62,Ricker,sigma,0.6,Ricker,0.61,0.49,0.77,1,1.6666666666666683,0.9,0.6,0.54
62,Ricker,alpha,0.9,Beverton-Holt,1.29,0.7,2.01,1.001,43.333333333333336,0.9,0.6,0.54
62,Ricker,b_for,0.54,Beverton-Holt,0.68,0.36,1,1.001,25.925925925925927,0.9,0.6,0.54
62,Ricker,sigma,0.6,Beverton-Holt,0.74,0.6,0.91,1,23.333333333333336,0.9,0.6,0.54
66,Beverton-Holt,alpha,0.14,Ricker,0.4,0.12,0.69,1.001,185.7142857142857,0.14,0.9,-0.5
66,Beverton-Holt,b_for,-0.5,Ricker,-0.47,-0.77,-0.18,1.002,-6.000000000000005,0.14,0.9,-0.5
66,Beverton-Holt,sigma,0.9,Ricker,0.84,0.68,1.06,1.001,-6.666666666666672,0.14,0.9,-0.5
66,Beverton-Holt,alpha,0.14,Beverton-Holt,1,0.31,2.02,1.018,614.2857142857142,0.14,0.9,-0.5
66,Beverton-Holt,b_for,-0.5,Beverton-Holt,-0.54,-0.82,-0.24,1.003,8.000000000000007,0.14,0.9,-0.5
66,Beverton-Holt,sigma,0.9,Beverton-Holt,0.81,0.65,1.02,1.004,-9.999999999999996,0.14,0.9,-0.5
67,Beverton-Holt,alpha,0.96,Ricker,0.4,0.1,0.72,1.001,-58.33333333333333,0.96,0.8,-1.01
67,Beverton-Holt,b_for,-1.01,Ricker,-0.89,-1.23,-0.52,1.003,-11.881188118811881,0.96,0.8,-1.01
67,Beverton-Holt,sigma,0.8,Ricker,0.96,0.77,1.2,1.003,19.99999999999999,0.96,0.8,-1.01
67,Beverton-Holt,alpha,0.96,Beverton-Holt,1.69,0.84,3.25,1.019,76.04166666666667,0.96,0.8,-1.01
67,Beverton-Holt,b_for,-1.01,Beverton-Holt,-1.16,-1.43,-0.88,1.002,14.851485148514843,0.96,0.8,-1.01
67,Beverton-Holt,sigma,0.8,Beverton-Holt,0.77,0.62,0.97,1.003,-3.750000000000003,0.96,0.8,-1.01
68,Beverton-Holt,alpha,1.39,Ricker,0.9,0.64,1.17,1.003,-35.25179856115107,1.39,0.5,-0.4
68,Beverton-Holt,b_for,-0.4,Ricker,-0.52,-0.68,-0.35,1,30,1.39,0.5,-0.4
68,Beverton-Holt,sigma,0.5,Ricker,0.45,0.37,0.57,1,-9.999999999999998,1.39,0.5,-0.4
68,Beverton-Holt,alpha,1.39,Beverton-Holt,3.08,1.27,8.95,1.004,121.58273381294967,1.39,0.5,-0.4
68,Beverton-Holt,b_for,-0.4,Beverton-Holt,-0.39,-0.53,-0.26,1,-2.500000000000002,1.39,0.5,-0.4
68,Beverton-Holt,sigma,0.5,Beverton-Holt,0.44,0.36,0.56,1,-12,1.39,0.5,-0.4
69,Beverton-Holt,alpha,0.77,Ricker,0.5,0.04,1.07,1.002,-35.064935064935064,0.77,1.8,-0.14
69,Beverton-Holt,b_for,-0.14,Ricker,-0.47,-1.03,0.09,1.001,235.71428571428564,0.77,1.8,-0.14
69,Beverton-Holt,sigma,1.8,Ricker,1.93,1.57,2.41,1.001,7.222222222222216,0.77,1.8,-0.14
69,Beverton-Holt,alpha,0.77,Beverton-Holt,1.01,0.17,2.06,1.003,31.16883116883117,0.77,1.8,-0.14
69,Beverton-Holt,b_for,-0.14,Beverton-Holt,-0.62,-1.19,-0.04,1.003,342.85714285714283,0.77,1.8,-0.14
69,Beverton-Holt,sigma,1.8,Beverton-Holt,1.81,1.45,2.28,1.001,0.555555555555556,0.77,1.8,-0.14
71,Beverton-Holt,alpha,1.66,Ricker,0.4,0.17,0.65,1,-75.90361445783131,1.66,0.6,-0.73
71,Beverton-Holt,b_for,-0.73,Ricker,-0.62,-0.87,-0.39,1,-15.06849315068493,1.66,0.6,-0.73
71,Beverton-Holt,sigma,0.6,Ricker,0.66,0.54,0.83,1.001,10.000000000000009,1.66,0.6,-0.73
71,Beverton-Holt,alpha,1.66,Beverton-Holt,1.73,0.98,3.09,1.012,4.216867469879522,1.66,0.6,-0.73
71,Beverton-Holt,b_for,-0.73,Beverton-Holt,-0.66,-0.82,-0.5,1.001,-9.589041095890403,1.66,0.6,-0.73
71,Beverton-Holt,sigma,0.6,Beverton-Holt,0.51,0.41,0.64,1.001,-14.999999999999995,1.66,0.6,-0.73
72,Ricker,alpha,0.48,Ricker,0.44,0.15,0.73,1.001,-8.33333333333333,0.48,0.8,-0.58
72,Ricker,b_for,-0.58,Ricker,-0.62,-0.89,-0.34,1.003,6.896551724137938,0.48,0.8,-0.58
72,Ricker,sigma,0.8,Ricker,0.69,0.56,0.86,1.001,-13.750000000000012,0.48,0.8,-0.58
72,Ricker,alpha,0.48,Beverton-Holt,0.53,0.14,0.96,1.004,10.416666666666677,0.48,0.8,-0.58
72,Ricker,b_for,-0.58,Beverton-Holt,-0.56,-0.85,-0.28,1.002,-3.4482758620689498,0.48,0.8,-0.58
72,Ricker,sigma,0.8,Beverton-Holt,0.72,0.58,0.9,1,-10.000000000000009,0.48,0.8,-0.58
73,Beverton-Holt,alpha,2.52,Ricker,0.84,0.09,1.74,1,-66.66666666666667,2.52,2,0.11
73,Beverton-Holt,b_for,0.11,Ricker,-0.08,-0.84,0.71,1,-172.72727272727272,2.52,2,0.11
73,Beverton-Holt,sigma,2,Ricker,2.89,2.35,3.66,1.003,44.50000000000001,2.52,2,0.11
73,Beverton-Holt,alpha,2.52,Beverton-Holt,6.12,1.8,9.85,1,142.85714285714286,2.52,2,0.11
73,Beverton-Holt,b_for,0.11,Beverton-Holt,0.32,-0.34,0.96,0.999,190.90909090909093,2.52,2,0.11
73,Beverton-Holt,sigma,2,Beverton-Holt,2.34,1.88,2.95,1.001,16.999999999999993,2.52,2,0.11
79,Ricker,alpha,2.16,Ricker,2.2,2.04,2.36,1.001,1.8518518518518534,2.16,0.3,0.07
79,Ricker,b_for,0.07,Ricker,-0.04,-0.13,0.04,1.001,-157.14285714285717,2.16,0.3,0.07
79,Ricker,sigma,0.3,Ricker,0.27,0.22,0.34,1.001,-9.999999999999991,2.16,0.3,0.07
79,Ricker,alpha,2.16,Beverton-Holt,6.35,2.92,9.8,1.001,193.98148148148144,2.16,0.3,0.07
79,Ricker,b_for,0.07,Beverton-Holt,0.01,-0.2,0.21,0.999,-85.71428571428572,2.16,0.3,0.07
79,Ricker,sigma,0.3,Beverton-Holt,0.69,0.56,0.86,1.001,129.99999999999997,2.16,0.3,0.07
80,Beverton-Holt,alpha,1,Ricker,0.56,0.21,0.9,1.004,-43.99999999999999,1,0.7,0.61
80,Beverton-Holt,b_for,0.61,Ricker,0.29,0.03,0.55,1.004,-52.459016393442624,1,0.7,0.61
80,Beverton-Holt,sigma,0.7,Ricker,0.74,0.6,0.93,1.002,5.71428571428572,1,0.7,0.61
80,Beverton-Holt,alpha,1,Beverton-Holt,1.01,0.41,1.75,1.001,1.0000000000000009,1,0.7,0.61
80,Beverton-Holt,b_for,0.61,Beverton-Holt,0.44,0.13,0.75,1.001,-27.868852459016395,1,0.7,0.61
80,Beverton-Holt,sigma,0.7,Beverton-Holt,0.71,0.58,0.89,1.001,1.42857142857143,1,0.7,0.61
83,Beverton-Holt,alpha,2.05,Ricker,0.98,0.7,1.26,1.002,-52.19512195121951,2.05,0.4,-0.29
83,Beverton-Holt,b_for,-0.29,Ricker,-0.36,-0.48,-0.25,1.002,24.137931034482765,2.05,0.4,-0.29
83,Beverton-Holt,sigma,0.4,Ricker,0.35,0.29,0.44,1,-12.50000000000001,2.05,0.4,-0.29
83,Beverton-Holt,alpha,2.05,Beverton-Holt,2.92,1.4,8.65,1.008,42.439024390243915,2.05,0.4,-0.29
83,Beverton-Holt,b_for,-0.29,Beverton-Holt,-0.28,-0.38,-0.18,1,-3.4482758620689498,2.05,0.4,-0.29
83,Beverton-Holt,sigma,0.4,Beverton-Holt,0.33,0.27,0.42,1.001,-17.5,2.05,0.4,-0.29
86,Beverton-Holt,alpha,2.38,Ricker,0.91,0.54,1.27,1,-61.764705882352935,2.38,0.8,-0.14
86,Beverton-Holt,b_for,-0.14,Ricker,-0.2,-0.44,0.04,1,42.857142857142854,2.38,0.8,-0.14
86,Beverton-Holt,sigma,0.8,Ricker,0.8,0.65,1,1,0,2.38,0.8,-0.14
86,Beverton-Holt,alpha,2.38,Beverton-Holt,3.99,1.09,9.68,1.002,67.64705882352942,2.38,0.8,-0.14
86,Beverton-Holt,b_for,-0.14,Beverton-Holt,-0.1,-0.34,0.14,1.001,-28.571428571428577,2.38,0.8,-0.14
86,Beverton-Holt,sigma,0.8,Beverton-Holt,0.79,0.64,0.99,1,-1.250000000000001,2.38,0.8,-0.14
89,Ricker,alpha,0.59,Ricker,0.89,0.46,1.32,1.002,50.84745762711865,0.59,1.1,-1.15
89,Ricker,b_for,-1.15,Ricker,-0.91,-1.32,-0.5,1.001,-20.869565217391298,0.59,1.1,-1.15
89,Ricker,sigma,1.1,Ricker,1.28,1.04,1.6,1,16.363636363636356,0.59,1.1,-1.15
89,Ricker,alpha,0.59,Beverton-Holt,1.26,0.51,2.21,1,113.55932203389831,0.59,1.1,-1.15
89,Ricker,b_for,-1.15,Beverton-Holt,-0.68,-1.16,-0.19,1.001,-40.8695652173913,0.59,1.1,-1.15
89,Ricker,sigma,1.1,Beverton-Holt,1.57,1.27,1.98,1.002,42.72727272727273,0.59,1.1,-1.15
91,Beverton-Holt,alpha,1.73,Ricker,1.03,0.83,1.23,1.003,-40.46242774566474,1.73,0,0.93
91,Beverton-Holt,b_for,0.93,Ricker,0.69,0.56,0.81,1.003,-25.806451612903235,1.73,0,0.93
91,Beverton-Holt,sigma,0,Ricker,0.22,0.18,0.27,1.001,Inf,1.73,0,0.93
91,Beverton-Holt,alpha,1.73,Beverton-Holt,1.72,1.68,1.76,1.002,-0.5780346820809253,1.73,0,0.93
91,Beverton-Holt,b_for,0.93,Beverton-Holt,0.93,0.91,0.94,1.002,0,1.73,0,0.93
91,Beverton-Holt,sigma,0,Beverton-Holt,0.03,0.02,0.04,1,Inf,1.73,0,0.93
93,Beverton-Holt,alpha,2.35,Ricker,0.65,0.12,1.27,1.001,-72.3404255319149,2.35,1.3,-0.34
93,Beverton-Holt,b_for,-0.34,Ricker,-0.43,-0.97,0.12,1.001,26.470588235294105,2.35,1.3,-0.34
93,Beverton-Holt,sigma,1.3,Ricker,1.87,1.5,2.34,1.001,43.84615384615385,2.35,1.3,-0.34
93,Beverton-Holt,alpha,2.35,Beverton-Holt,4.26,1.15,9.55,1.001,81.27659574468083,2.35,1.3,-0.34
93,Beverton-Holt,b_for,-0.34,Beverton-Holt,-0.32,-0.77,0.16,1,-5.8823529411764754,2.35,1.3,-0.34
93,Beverton-Holt,sigma,1.3,Beverton-Holt,1.57,1.27,1.96,1,20.76923076923077,2.35,1.3,-0.34
96,Beverton-Holt,alpha,1.15,Ricker,0.44,0.17,0.7,1.002,-61.739130434782616,1.15,0.6,-0.46
96,Beverton-Holt,b_for,-0.46,Ricker,-0.55,-0.78,-0.32,1.002,19.56521739130435,1.15,0.6,-0.46
96,Beverton-Holt,sigma,0.6,Ricker,0.63,0.51,0.8,1,5.000000000000004,1.15,0.6,-0.46
96,Beverton-Holt,alpha,1.15,Beverton-Holt,1.17,0.55,2.16,1.002,1.7391304347826104,1.15,0.6,-0.46
96,Beverton-Holt,b_for,-0.46,Beverton-Holt,-0.61,-0.81,-0.41,1,32.60869565217391,1.15,0.6,-0.46
96,Beverton-Holt,sigma,0.6,Beverton-Holt,0.59,0.47,0.73,1.001,-1.6666666666666683,1.15,0.6,-0.46
97,Beverton-Holt,alpha,1.49,Ricker,0.39,0.09,0.73,1.003,-73.82550335570471,1.49,0.8,-0.24
97,Beverton-Holt,b_for,-0.24,Ricker,-0.29,-0.56,-0.01,1,20.833333333333332,1.49,0.8,-0.24
97,Beverton-Holt,sigma,0.8,Ricker,0.92,0.74,1.14,1,15,1.49,0.8,-0.24
97,Beverton-Holt,alpha,1.49,Beverton-Holt,0.81,0.28,1.5,1.001,-45.63758389261745,1.49,0.8,-0.24
97,Beverton-Holt,b_for,-0.24,Beverton-Holt,-0.34,-0.61,-0.07,1,41.666666666666686,1.49,0.8,-0.24
97,Beverton-Holt,sigma,0.8,Beverton-Holt,0.88,0.71,1.1,1.001,9.999999999999995,1.49,0.8,-0.24
98,Ricker,alpha,1.14,Ricker,1.18,0.88,1.47,1.001,3.5087719298245648,1.14,0.6,-0.63
98,Ricker,b_for,-0.63,Ricker,-0.59,-0.79,-0.39,1,-6.349206349206355,1.14,0.6,-0.63
98,Ricker,sigma,0.6,Ricker,0.57,0.46,0.72,1,-5.000000000000004,1.14,0.6,-0.63
98,Ricker,alpha,1.14,Beverton-Holt,5.24,1.64,9.71,1.003,359.64912280701765,1.14,0.6,-0.63
98,Ricker,b_for,-0.63,Beverton-Holt,-0.32,-0.53,-0.13,1,-49.20634920634921,1.14,0.6,-0.63
98,Ricker,sigma,0.6,Beverton-Holt,0.67,0.54,0.84,1.001,11.666666666666677,1.14,0.6,-0.63
101,Ricker,alpha,0.69,Ricker,0.44,0.19,0.69,1.002,-36.23188405797101,0.69,0.7,0.4
101,Ricker,b_for,0.4,Ricker,0.41,0.2,0.64,1.001,2.499999999999988,0.69,0.7,0.4
101,Ricker,sigma,0.7,Ricker,0.64,0.52,0.81,1.001,-8.571428571428564,0.69,0.7,0.4
101,Ricker,alpha,0.69,Beverton-Holt,0.47,0.15,0.8,1.002,-31.88405797101449,0.69,0.7,0.4
101,Ricker,b_for,0.4,Beverton-Holt,0.41,0.17,0.67,1.003,2.499999999999988,0.69,0.7,0.4
101,Ricker,sigma,0.7,Beverton-Holt,0.69,0.56,0.87,1.003,-1.42857142857143,0.69,0.7,0.4
103,Beverton-Holt,alpha,2.16,Ricker,0.4,0.04,0.87,1,-81.4814814814815,2.16,1.3,-1.76
103,Beverton-Holt,b_for,-1.76,Ricker,-0.97,-1.49,-0.42,1.002,-44.88636363636363,2.16,1.3,-1.76
103,Beverton-Holt,sigma,1.3,Ricker,1.53,1.24,1.91,1.001,17.692307692307693,2.16,1.3,-1.76
103,Beverton-Holt,alpha,2.16,Beverton-Holt,1.11,0.42,1.85,1.006,-48.61111111111111,2.16,1.3,-1.76
103,Beverton-Holt,b_for,-1.76,Beverton-Holt,-1.46,-1.98,-0.88,1.007,-17.045454545454547,2.16,1.3,-1.76
103,Beverton-Holt,sigma,1.3,Beverton-Holt,1.27,1.02,1.61,1.004,-2.3076923076923097,2.16,1.3,-1.76
104,Ricker,alpha,1.85,Ricker,1.79,1.55,2.03,1.002,-3.243243243243246,1.85,0.4,-0.03
104,Ricker,b_for,-0.03,Ricker,0.08,-0.05,0.2,1.002,-366.6666666666667,1.85,0.4,-0.03
104,Ricker,sigma,0.4,Ricker,0.39,0.31,0.48,1.002,-2.500000000000002,1.85,0.4,-0.03
104,Ricker,alpha,1.85,Beverton-Holt,5.29,2.06,9.7,1.001,185.94594594594594,1.85,0.4,-0.03
104,Ricker,b_for,-0.03,Beverton-Holt,0.11,-0.1,0.31,1.001,-466.66666666666674,1.85,0.4,-0.03
104,Ricker,sigma,0.4,Beverton-Holt,0.66,0.54,0.83,1.001,65,1.85,0.4,-0.03
108,Beverton-Holt,alpha,1.84,Ricker,0.7,0.34,1.07,1.003,-61.95652173913044,1.84,0.7,0.92
108,Beverton-Holt,b_for,0.92,Ricker,0.36,0.07,0.65,1.002,-60.86956521739131,1.84,0.7,0.92
108,Beverton-Holt,sigma,0.7,Ricker,0.88,0.71,1.1,1,25.714285714285722,1.84,0.7,0.92
108,Beverton-Holt,alpha,1.84,Beverton-Holt,1.9,1.04,2.97,1.002,3.260869565217382,1.84,0.7,0.92
108,Beverton-Holt,b_for,0.92,Beverton-Holt,0.72,0.37,1.05,1.001,-21.739130434782616,1.84,0.7,0.92
108,Beverton-Holt,sigma,0.7,Beverton-Holt,0.78,0.63,0.98,1,11.42857142857144,1.84,0.7,0.92
111,Beverton-Holt,alpha,2.57,Ricker,0.74,0.31,1.17,1,-71.20622568093384,2.57,1.2,0.23
111,Beverton-Holt,b_for,0.23,Ricker,-0.01,-0.36,0.36,1,-104.34782608695653,2.57,1.2,0.23
111,Beverton-Holt,sigma,1.2,Ricker,1.22,0.99,1.52,1.001,1.6666666666666683,2.57,1.2,0.23
111,Beverton-Holt,alpha,2.57,Beverton-Holt,5.52,1.36,9.76,1.001,114.78599221789884,2.57,1.2,0.23
111,Beverton-Holt,b_for,0.23,Beverton-Holt,0.39,-0.02,0.76,1,69.56521739130434,2.57,1.2,0.23
111,Beverton-Holt,sigma,1.2,Beverton-Holt,1.16,0.94,1.46,1,-3.3333333333333366,2.57,1.2,0.23
112,Ricker,alpha,0.92,Ricker,0.87,0.62,1.12,1,-5.434782608695657,0.92,0.7,-0.91
112,Ricker,b_for,-0.91,Ricker,-1,-1.25,-0.75,1.001,9.890109890109885,0.92,0.7,-0.91
112,Ricker,sigma,0.7,Ricker,0.72,0.58,0.9,1,2.85714285714286,0.92,0.7,-0.91
112,Ricker,alpha,0.92,Beverton-Holt,1.07,0.43,1.94,1.001,16.304347826086957,0.92,0.7,-0.91
112,Ricker,b_for,-0.91,Beverton-Holt,-0.53,-0.9,-0.16,1,-41.75824175824176,0.92,0.7,-0.91
112,Ricker,sigma,0.7,Beverton-Holt,1.17,0.94,1.46,1,67.14285714285715,0.92,0.7,-0.91
116,Beverton-Holt,alpha,1.42,Ricker,0.4,0.04,0.86,1,-71.83098591549296,1.42,1.3,-0.49
116,Beverton-Holt,b_for,-0.49,Ricker,-0.15,-0.59,0.31,1,-69.38775510204081,1.42,1.3,-0.49
116,Beverton-Holt,sigma,1.3,Ricker,1.55,1.26,1.94,1,19.23076923076923,1.42,1.3,-0.49
116,Beverton-Holt,alpha,1.42,Beverton-Holt,1.91,0.3,7.26,1.018,34.50704225352113,1.42,1.3,-0.49
116,Beverton-Holt,b_for,-0.49,Beverton-Holt,-0.2,-0.6,0.22,1.001,-59.18367346938775,1.42,1.3,-0.49
116,Beverton-Holt,sigma,1.3,Beverton-Holt,1.42,1.15,1.81,1.004,9.230769230769223,1.42,1.3,-0.49
119,Beverton-Holt,alpha,1.11,Ricker,0.56,0.08,1.13,1.003,-49.54954954954955,1.11,1.8,-0.38
119,Beverton-Holt,b_for,-0.38,Ricker,-0.23,-0.76,0.3,1,-39.473684210526315,1.11,1.8,-0.38
119,Beverton-Holt,sigma,1.8,Ricker,1.84,1.49,2.28,1,2.222222222222224,1.11,1.8,-0.38
119,Beverton-Holt,alpha,1.11,Beverton-Holt,0.67,0.08,1.42,1.004,-39.63963963963964,1.11,1.8,-0.38
119,Beverton-Holt,b_for,-0.38,Beverton-Holt,-0.29,-0.84,0.26,1.004,-23.684210526315795,1.11,1.8,-0.38
119,Beverton-Holt,sigma,1.8,Beverton-Holt,1.85,1.5,2.31,1.001,2.7777777777777803,1.11,1.8,-0.38
120,Beverton-Holt,alpha,0.31,Ricker,0.36,0.07,0.65,1.003,16.129032258064512,0.31,0.7,-0.33
120,Beverton-Holt,b_for,-0.33,Ricker,-0.41,-0.65,-0.17,1.003,24.24242424242423,0.31,0.7,-0.33
120,Beverton-Holt,sigma,0.7,Ricker,0.74,0.6,0.93,1.001,5.71428571428572,0.31,0.7,-0.33
120,Beverton-Holt,alpha,0.31,Beverton-Holt,0.72,0.21,1.4,1.001,132.25806451612902,0.31,0.7,-0.33
120,Beverton-Holt,b_for,-0.33,Beverton-Holt,-0.48,-0.74,-0.24,1,45.45454545454544,0.31,0.7,-0.33
120,Beverton-Holt,sigma,0.7,Beverton-Holt,0.73,0.59,0.91,1.001,4.28571428571429,0.31,0.7,-0.33
121,Ricker,alpha,0.46,Ricker,0.43,0.18,0.68,1.002,-6.5217391304347885,0.46,0.4,0.17
121,Ricker,b_for,0.17,Ricker,0.17,0,0.33,1,0,0.46,0.4,0.17
121,Ricker,sigma,0.4,Ricker,0.44,0.36,0.55,1.003,9.999999999999995,0.46,0.4,0.17
121,Ricker,alpha,0.46,Beverton-Holt,0.53,0.2,0.93,1.001,15.217391304347828,0.46,0.4,0.17
121,Ricker,b_for,0.17,Beverton-Holt,0.2,0.02,0.37,1.003,17.64705882352941,0.46,0.4,0.17
121,Ricker,sigma,0.4,Beverton-Holt,0.44,0.36,0.56,1.002,9.999999999999995,0.46,0.4,0.17
125,Beverton-Holt,alpha,1.36,Ricker,0.33,0.03,0.76,1,-75.73529411764706,1.36,1.3,-0.28
125,Beverton-Holt,b_for,-0.28,Ricker,-0.16,-0.59,0.25,1.002,-42.85714285714286,1.36,1.3,-0.28
125,Beverton-Holt,sigma,1.3,Ricker,1.42,1.15,1.77,1.004,9.230769230769223,1.36,1.3,-0.28
125,Beverton-Holt,alpha,1.36,Beverton-Holt,1.9,0.27,7.76,1.03,39.70588235294116,1.36,1.3,-0.28
125,Beverton-Holt,b_for,-0.28,Beverton-Holt,-0.14,-0.55,0.24,1.004,-50,1.36,1.3,-0.28
125,Beverton-Holt,sigma,1.3,Beverton-Holt,1.32,1.07,1.68,1.006,1.5384615384615399,1.36,1.3,-0.28
127,Beverton-Holt,alpha,1.58,Ricker,0.57,0.12,1.05,1.003,-63.92405063291141,1.58,1.2,-0.64
127,Beverton-Holt,b_for,-0.64,Ricker,-0.57,-1.01,-0.14,1,-10.937500000000009,1.58,1.2,-0.64
127,Beverton-Holt,sigma,1.2,Ricker,1.41,1.14,1.75,1,17.499999999999996,1.58,1.2,-0.64
127,Beverton-Holt,alpha,1.58,Beverton-Holt,3.87,1.08,9.47,1,144.9367088607595,1.58,1.2,-0.64
127,Beverton-Holt,b_for,-0.64,Beverton-Holt,-0.69,-1.05,-0.33,1.001,7.8124999999999885,1.58,1.2,-0.64
127,Beverton-Holt,sigma,1.2,Beverton-Holt,1.18,0.95,1.5,1.001,-1.6666666666666683,1.58,1.2,-0.64
129,Ricker,alpha,1.01,Ricker,0.85,0.58,1.12,1.005,-15.841584158415845,1.01,0.2,0.05
129,Ricker,b_for,0.05,Ricker,0.05,-0.03,0.14,1.004,0,1.01,0.2,0.05
129,Ricker,sigma,0.2,Ricker,0.2,0.16,0.24,1.003,0,1.01,0.2,0.05
129,Ricker,alpha,1.01,Beverton-Holt,1.1,0.63,1.63,1.001,8.910891089108917,1.01,0.2,0.05
129,Ricker,b_for,0.05,Beverton-Holt,0.07,-0.03,0.17,1.002,40.00000000000001,1.01,0.2,0.05
129,Ricker,sigma,0.2,Beverton-Holt,0.2,0.16,0.25,1.003,0,1.01,0.2,0.05
131,Beverton-Holt,alpha,3.33,Ricker,0.94,0.32,1.56,1.001,-71.77177177177177,3.33,1.6,0.08
131,Beverton-Holt,b_for,0.08,Ricker,-0.28,-0.81,0.26,0.999,-450.00000000000006,3.33,1.6,0.08
131,Beverton-Holt,sigma,1.6,Ricker,1.88,1.53,2.35,1,17.499999999999986,3.33,1.6,0.08
131,Beverton-Holt,alpha,3.33,Beverton-Holt,6.21,2.42,9.79,1,86.48648648648648,3.33,1.6,0.08
131,Beverton-Holt,b_for,0.08,Beverton-Holt,-0.19,-0.62,0.24,1,-337.5,3.33,1.6,0.08
131,Beverton-Holt,sigma,1.6,Beverton-Holt,1.49,1.21,1.87,1.001,-6.875000000000006,3.33,1.6,0.08
132,Beverton-Holt,alpha,2.45,Ricker,0.37,0.04,0.81,1,-84.89795918367346,2.45,1,-1.08
132,Beverton-Holt,b_for,-1.08,Ricker,-0.85,-1.35,-0.36,1,-21.296296296296305,2.45,1,-1.08
132,Beverton-Holt,sigma,1,Ricker,1.45,1.17,1.83,1.001,44.99999999999999,2.45,1,-1.08
132,Beverton-Holt,alpha,2.45,Beverton-Holt,1.52,0.57,2.96,1.001,-37.95918367346939,2.45,1,-1.08
132,Beverton-Holt,b_for,-1.08,Beverton-Holt,-1.12,-1.51,-0.66,1.002,3.703703703703707,2.45,1,-1.08
132,Beverton-Holt,sigma,1,Beverton-Holt,1.19,0.95,1.51,1.001,18.999999999999993,2.45,1,-1.08
134,Ricker,alpha,1.86,Ricker,1.85,1.76,1.95,1,-0.537634408602151,1.86,0.2,-0.28
134,Ricker,b_for,-0.28,Ricker,-0.32,-0.36,-0.28,1,14.285714285714278,1.86,0.2,-0.28
134,Ricker,sigma,0.2,Ricker,0.13,0.11,0.16,1.001,-35,1.86,0.2,-0.28
134,Ricker,alpha,1.86,Beverton-Holt,6.33,3.02,9.74,1.002,240.32258064516128,1.86,0.2,-0.28
134,Ricker,b_for,-0.28,Beverton-Holt,-0.01,-0.14,0.11,1,-96.42857142857142,1.86,0.2,-0.28
134,Ricker,sigma,0.2,Beverton-Holt,0.41,0.33,0.51,1.001,104.99999999999997,1.86,0.2,-0.28
137,Ricker,alpha,1.38,Ricker,1.36,1.11,1.6,1.001,-1.449275362318826,1.38,0.6,0.62
137,Ricker,b_for,0.62,Ricker,0.53,0.33,0.73,1,-14.516129032258059,1.38,0.6,0.62
137,Ricker,sigma,0.6,Ricker,0.63,0.51,0.78,0.999,5.000000000000004,1.38,0.6,0.62
137,Ricker,alpha,1.38,Beverton-Holt,1.98,0.99,3.38,1.003,43.478260869565226,1.38,0.6,0.62
137,Ricker,b_for,0.62,Beverton-Holt,0.53,0.13,0.93,0.999,-14.516129032258059,1.38,0.6,0.62
137,Ricker,sigma,0.6,Beverton-Holt,1.17,0.94,1.46,1.001,94.99999999999999,1.38,0.6,0.62
140,Beverton-Holt,alpha,1.35,Ricker,0.74,0.2,1.29,1.001,-45.18518518518519,1.35,1.7,-0.53
