simulation,data_model,parameter,true_value,fitting_model,estimate_mean,estimate_lower,estimate_upper,Rhat,error,alpha,sigma,b_for
16,Beverton-Holt,sigma,2,Ricker,2.11,1.72,2.64,1.002,5.499999999999994,1.27,2,-0.3
16,Beverton-Holt,alpha,1.27,Beverton-Holt,2.1,0.43,7.22,1.009,65.35433070866142,1.27,2,-0.3
16,Beverton-Holt,b_for,-0.3,Beverton-Holt,-0.16,-0.72,0.39,1.001,-46.666666666666664,1.27,2,-0.3
16,Beverton-Holt,sigma,2,Beverton-Holt,1.94,1.56,2.49,1.004,-3.0000000000000027,1.27,2,-0.3
17,Ricker,alpha,0.32,Ricker,0.37,0.03,0.85,1.003,15.624999999999996,0.32,1.8,0.15
17,Ricker,b_for,0.15,Ricker,-0.17,-0.63,0.29,0.999,-213.33333333333334,0.32,1.8,0.15
17,Ricker,sigma,1.8,Ricker,1.5,1.22,1.88,1.001,-16.666666666666668,0.32,1.8,0.15
17,Ricker,alpha,0.32,Beverton-Holt,0.57,0.06,1.23,1.001,78.12499999999997,0.32,1.8,0.15
17,Ricker,b_for,0.15,Beverton-Holt,-0.23,-0.67,0.22,1.003,-253.33333333333334,0.32,1.8,0.15
17,Ricker,sigma,1.8,Beverton-Holt,1.47,1.2,1.85,1.006,-18.333333333333336,0.32,1.8,0.15
18,Beverton-Holt,alpha,2.13,Ricker,0.55,0.07,1.14,1.001,-74.17840375586853,2.13,1.6,0.08
18,Beverton-Holt,b_for,0.08,Ricker,-0.09,-0.67,0.5,1.001,-212.5,2.13,1.6,0.08
18,Beverton-Holt,sigma,1.6,Ricker,1.94,1.57,2.43,1,21.24999999999999,2.13,1.6,0.08
18,Beverton-Holt,alpha,2.13,Beverton-Holt,5.97,2.01,9.75,1,180.2816901408451,2.13,1.6,0.08
18,Beverton-Holt,b_for,0.08,Beverton-Holt,0.24,-0.2,0.69,1,199.99999999999997,2.13,1.6,0.08
18,Beverton-Holt,sigma,1.6,Beverton-Holt,1.54,1.25,1.93,1.001,-3.750000000000003,2.13,1.6,0.08
20,Ricker,alpha,1.34,Ricker,1.35,1.15,1.55,1.003,0.7462686567164185,1.34,0.5,-0.65
20,Ricker,b_for,-0.65,Ricker,-0.64,-0.8,-0.48,1,-1.5384615384615399,1.34,0.5,-0.65
20,Ricker,sigma,0.5,Ricker,0.49,0.4,0.61,1,-2.0000000000000018,1.34,0.5,-0.65
20,Ricker,alpha,1.34,Beverton-Holt,3.6,1.44,8.72,1.003,168.65671641791042,1.34,0.5,-0.65
20,Ricker,b_for,-0.65,Beverton-Holt,-0.03,-0.38,0.32,1.001,-95.38461538461539,1.34,0.5,-0.65
20,Ricker,sigma,0.5,Beverton-Holt,1.12,0.9,1.39,1.001,124.00000000000003,1.34,0.5,-0.65
21,Beverton-Holt,alpha,1.11,Ricker,0.45,0.04,1,1,-59.45945945945947,1.11,1.9,-0.26
21,Beverton-Holt,b_for,-0.26,Ricker,-0.2,-0.71,0.3,1.002,-23.076923076923077,1.11,1.9,-0.26
21,Beverton-Holt,sigma,1.9,Ricker,1.74,1.4,2.16,1,-8.421052631578943,1.11,1.9,-0.26
21,Beverton-Holt,alpha,1.11,Beverton-Holt,0.62,0.06,1.41,1.005,-44.14414414414415,1.11,1.9,-0.26
21,Beverton-Holt,b_for,-0.26,Beverton-Holt,-0.24,-0.71,0.24,1.001,-7.692307692307699,1.11,1.9,-0.26
21,Beverton-Holt,sigma,1.9,Beverton-Holt,1.69,1.36,2.1,1.005,-11.052631578947366,1.11,1.9,-0.26
23,Beverton-Holt,alpha,3.23,Ricker,0.59,0.08,1.12,1.002,-81.73374613003097,3.23,1.3,-1.02
23,Beverton-Holt,b_for,-1.02,Ricker,-0.98,-1.6,-0.37,1.001,-3.921568627450984,3.23,1.3,-1.02
23,Beverton-Holt,sigma,1.3,Ricker,1.69,1.36,2.12,1.002,29.999999999999993,3.23,1.3,-1.02
23,Beverton-Holt,alpha,3.23,Beverton-Holt,6.24,2.5,9.81,1,93.18885448916409,3.23,1.3,-1.02
23,Beverton-Holt,b_for,-1.02,Beverton-Holt,-0.93,-1.3,-0.55,1,-8.823529411764703,3.23,1.3,-1.02
23,Beverton-Holt,sigma,1.3,Beverton-Holt,1.27,1.03,1.59,1.002,-2.3076923076923097,3.23,1.3,-1.02
24,Beverton-Holt,alpha,2.21,Ricker,0.78,0.44,1.11,1,-64.70588235294117,2.21,0.7,-0.63
24,Beverton-Holt,b_for,-0.63,Ricker,-0.8,-1.09,-0.5,1.002,26.98412698412699,2.21,0.7,-0.63
24,Beverton-Holt,sigma,0.7,Ricker,0.81,0.66,1,1.001,15.714285714285731,2.21,0.7,-0.63
24,Beverton-Holt,alpha,2.21,Beverton-Holt,5.98,2.31,9.75,1.001,170.58823529411768,2.21,0.7,-0.63
24,Beverton-Holt,b_for,-0.63,Beverton-Holt,-0.64,-0.82,-0.45,1.001,1.5873015873015888,2.21,0.7,-0.63
24,Beverton-Holt,sigma,0.7,Beverton-Holt,0.62,0.5,0.78,1,-11.428571428571423,2.21,0.7,-0.63
26,Beverton-Holt,alpha,2.09,Ricker,0.76,0.36,1.16,1.006,-63.636363636363626,2.09,1.1,-0.98
26,Beverton-Holt,b_for,-0.98,Ricker,-0.81,-1.19,-0.44,1.003,-17.346938775510196,2.09,1.1,-0.98
26,Beverton-Holt,sigma,1.1,Ricker,1.03,0.83,1.29,1.002,-6.363636363636369,2.09,1.1,-0.98
26,Beverton-Holt,alpha,2.09,Beverton-Holt,2.9,0.87,9.21,1.007,38.75598086124402,2.09,1.1,-0.98
26,Beverton-Holt,b_for,-0.98,Beverton-Holt,-0.73,-1.03,-0.43,1.001,-25.510204081632654,2.09,1.1,-0.98
26,Beverton-Holt,sigma,1.1,Beverton-Holt,0.93,0.75,1.17,1.002,-15.454545454545457,2.09,1.1,-0.98
28,Ricker,alpha,0.64,Ricker,1.01,0.52,1.51,1.001,57.8125,0.64,2,-0.24
28,Ricker,b_for,-0.24,Ricker,-0.44,-0.87,-0.02,1,83.33333333333334,0.64,2,-0.24
28,Ricker,sigma,2,Ricker,1.46,1.19,1.82,1,-27,0.64,2,-0.24
28,Ricker,alpha,0.64,Beverton-Holt,1.31,0.41,2.43,1.001,104.6875,0.64,2,-0.24
28,Ricker,b_for,-0.24,Beverton-Holt,-0.15,-0.67,0.37,1,-37.5,0.64,2,-0.24
28,Ricker,sigma,2,Beverton-Holt,1.79,1.44,2.24,1,-10.499999999999998,0.64,2,-0.24
31,Beverton-Holt,alpha,0.02,Ricker,0.21,0.01,0.51,1.003,950,0.02,1,0.11
31,Beverton-Holt,b_for,0.11,Ricker,-0.03,-0.33,0.26,1.001,-127.2727272727273,0.02,1,0.11
31,Beverton-Holt,sigma,1,Ricker,0.98,0.79,1.23,1,-2.0000000000000018,0.02,1,0.11
31,Beverton-Holt,alpha,0.02,Beverton-Holt,0.22,0.01,0.54,1.002,1000,0.02,1,0.11
31,Beverton-Holt,b_for,0.11,Beverton-Holt,-0.05,-0.33,0.23,1.007,-145.45454545454547,0.02,1,0.11
31,Beverton-Holt,sigma,1,Beverton-Holt,0.98,0.79,1.24,1.003,-2.0000000000000018,0.02,1,0.11
32,Beverton-Holt,alpha,2.7,Ricker,0.86,0.4,1.32,1.001,-68.14814814814815,2.7,1,0.64
32,Beverton-Holt,b_for,0.64,Ricker,0.16,-0.16,0.5,1.003,-75,2.7,1,0.64
32,Beverton-Holt,sigma,1,Ricker,1.04,0.84,1.29,1,4.0000000000000036,2.7,1,0.64
32,Beverton-Holt,alpha,2.7,Beverton-Holt,5.46,1.6,9.72,1.002,102.22222222222221,2.7,1,0.64
32,Beverton-Holt,b_for,0.64,Beverton-Holt,0.48,0.14,0.8,1.001,-25.000000000000004,2.7,1,0.64
32,Beverton-Holt,sigma,1,Beverton-Holt,0.97,0.79,1.21,1.001,-3.0000000000000027,2.7,1,0.64
34,Beverton-Holt,alpha,1.98,Ricker,0.32,0.02,0.74,1.004,-83.83838383838383,1.98,1.3,-1.11
34,Beverton-Holt,b_for,-1.11,Ricker,-0.61,-1.09,-0.13,1.002,-45.04504504504505,1.98,1.3,-1.11
34,Beverton-Holt,sigma,1.3,Ricker,1.39,1.13,1.73,1.002,6.923076923076912,1.98,1.3,-1.11
34,Beverton-Holt,alpha,1.98,Beverton-Holt,2.04,0.87,3.8,1.004,3.030303030303033,1.98,1.3,-1.11
34,Beverton-Holt,b_for,-1.11,Beverton-Holt,-1.13,-1.49,-0.74,1.002,1.8018018018017832,1.98,1.3,-1.11
34,Beverton-Holt,sigma,1.3,Beverton-Holt,1.11,0.9,1.4,1,-14.61538461538461,1.98,1.3,-1.11
35,Beverton-Holt,alpha,3.18,Ricker,0.46,0.13,0.81,1.003,-85.53459119496856,3.18,0.5,-1.19
35,Beverton-Holt,b_for,-1.19,Ricker,-0.96,-1.37,-0.52,1.002,-19.327731092436977,3.18,0.5,-1.19
35,Beverton-Holt,sigma,0.5,Ricker,1,0.8,1.24,1.001,100,3.18,0.5,-1.19
35,Beverton-Holt,alpha,3.18,Beverton-Holt,5.19,2.05,9.64,1.006,63.20754716981133,3.18,0.5,-1.19
