"Species","River","River_GFE_ID","GFE_ID","WATERSHED_CDE","DFO","CU","BroodYear","area_km2","ln_area_km2","ln_area_km2_std","Spawners","logS","Recruits","Returns","recruitPerSpawner","ln_RS","ECA_age_proxy","ECA_age_proxy_forested_only","ECA_age_proxy_forested_only_std","disturbedarea_m2_3005","disturbedarea_m2_cs","disturbedarea_prct_cs","lake_cover_pct","var_eaubc_KFACTOR","var_eaubc_MELTONS_R","vri_bec_zone","npgo","portion_reporting_vri_cover1_missing","hatchery_enhancement","year_of_enhacement","forested_area_m2","disturbedarea_m2_total","permament_dist_m2","X_LONG","Y_LAT","CU_NAME","distance","sst_ersst_lat","sst_ersst_lon","sst_ersst_year","spring_ersst","pdo","pdo.std"
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1955,184.792765866465,5.21923501269713,0.998711731110707,7500,8.9226582995244,22782.10234343,8840.74303438424,3.03761364579066,1.11107222221884,0.049,0.0897,0.0447394464065545,0,11679480.1289997,17.8458312171476,0.012,0.1357,0.16111,"CWH",-0.0710687904772957,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1956,11.7077717781067,-1.8125,-2.01614857698487
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1956,184.792765866465,5.21923501269713,0.998711731110707,15000,9.61580548008435,8280.35375277937,18493.8570098598,0.552023583518624,-0.594164509852052,0.049,0.0897,0.0447394464065545,0,11679480.1289997,17.8458312171476,0.012,0.1357,0.16111,"CWH",-1.20426859553459,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1957,12.1209924221039,0.29,0.649167732617975
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1957,184.792765866465,5.21923501269713,0.998711731110707,1500,7.3132203870903,10808.4610027533,1636.57056514018,7.20564066850222,1.97486414548477,0.0615,0.1251,0.376697020395856,2320197.558419,13999677.6874187,21.3910107594437,0.012,0.1357,0.16111,"CWH",-0.327669103477235,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1958,13.1152784824371,0.864166666666667,1.37703255121344
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1958,184.792765866465,5.21923501269713,0.998711731110707,35000,10.4631033404715,2447.62769011792,39622.9561871707,0.0699322197176547,-2.66022879577592,0.0417,0.0881,0.0297357142488459,0,13999677.6874187,21.3910107594437,0.012,0.1357,0.16111,"CWH",-0.247814402527618,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1959,11.729495048523,0.274166666666667,0.629095988708956
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1959,184.792765866465,5.21923501269713,0.998711731110707,7500,8.9226582995244,11654.0574402488,8475.66265924096,1.55387432536651,0.440751376967639,0.0417,0.0881,0.0297357142488459,0,13999677.6874187,21.3910107594437,0.012,0.1357,0.16111,"CWH",0.782497762056657,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1960,11.7061665058136,0.0391666666666667,0.331189052796153
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1960,184.792765866465,5.21923501269713,0.998711731110707,7500,8.9226582995244,14889.5535334962,8812.58461959737,1.98527380446616,0.685756841385525,0.0417,0.0881,0.0297357142488459,0,13999677.6874187,21.3910107594437,0.012,0.1357,0.16111,"CWH",1.30564755380606,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1961,12.1014151573181,-0.574166666666667,-0.44632692178478
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1961,184.792765866465,5.21923501269713,0.998711731110707,7500,8.9226582995244,4076.69000456032,8336.27440949352,0.54355866727471,-0.609617634778623,0.0417,0.0881,0.0297357142488459,0,13999677.6874187,21.3910107594437,0.012,0.1357,0.16111,"CWH",0.00583928468743269,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1962,11.673365354538,-1.10166666666667,-1.11503291622735
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1962,184.792765866465,5.21923501269713,0.998711731110707,7500,8.9226582995244,1012.43144407907,7824.96302523044,0.134990859210543,-2.00254821238764,0.0417,0.0881,0.0297357142488459,0,13999677.6874187,21.3910107594437,0.012,0.1357,0.16111,"CWH",-0.355648707976849,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1963,12.5132629871369,-0.240833333333333,-0.0237638921212296
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1963,184.792765866465,5.21923501269713,0.998711731110707,7500,8.9226582995244,2968.99869756792,8253.86885819791,0.395866493009056,-0.926678263437761,0.0416,0.0881,0.0297357142488459,0,13999677.6874187,21.3910107594437,0.012,0.1357,0.16111,"CWH",0.579794404115465,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1964,11.095951795578,-0.8875,-0.843536169668518
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1964,184.792765866465,5.21923501269713,0.998711731110707,15000,9.61580548008435,8180.85657320853,15693.7888792293,0.545390438213902,-0.606253340418681,0.0416,0.0881,0.0297357142488459,0,13999677.6874187,21.3910107594437,0.012,0.1357,0.16111,"CWH",-0.671499148634787,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1965,10.640636920929,-0.144166666666667,0.0987793864812001
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1965,184.792765866465,5.21923501269713,0.998711731110707,750,6.62007320653036,2051.60123210174,765.809259011204,2.73546830946898,1.00630264954109,0.0416,0.0881,0.0297357142488459,0,13999677.6874187,21.3910107594437,0.012,0.1357,0.16111,"CWH",-0.709379464123501,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1966,11.5244290828705,-0.44,-0.276245302345201
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1966,184.792765866465,5.21923501269713,0.998711731110707,750,6.62007320653036,4923.61720357255,761.698758560134,6.56482293809674,1.88172553680411,0.0416,0.0881,0.0297357142488459,0,13999677.6874187,21.3910107594437,0.012,0.1357,0.16111,"CWH",-0.657750014643652,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1967,11.5641579627991,-0.741666666666667,-0.658664844190714
"CM","AHNUHATI RIVER","AHNUHATI RIVER_852",852,"900-603000-00000-00000-0000-0000-000-000-000-000-000-000",12,"CM-9",1967,184.792765866465,5.21923501269713,0.998711731110707,7500,8.9226582995244,1152.73895641789,7867.93271857121,0.153698527522385,-1.87276220868917,0.0474,0.1044,0.182586235605502,1062267.42553966,15061945.1129583,23.0141176935088,0.012,0.1357,0.16111,"CWH",-0.480898092832995,0,FALSE,FALSE,65446545.957339,16494086.0869898,0,-125.6396889,50.89044697,"UPPER KNIGHT",102.247231904792,50,-126,1968,11.3630263805389,-0.154166666666667,0.0861024955912936
